supplier_id,supplier_name,contact_email,city
SUP001,Supplier_1,supplier1@email.com,Chennai
SUP002,Supplier_2,supplier2@email.com,Kolkata
SUP003,Supplier_3,supplier3@email.com,Mumbai
SUP004,Supplier_4,supplier4@email.com,Mumbai
SUP005,Supplier_5,supplier5@email.com,Chennai
SUP006,Supplier_6,supplier6@email.com,Chennai
SUP007,Supplier_7,supplier7@email.com,Bangalore
SUP008,Supplier_8,supplier8@email.com,Kolkata
SUP009,Supplier_9,supplier9@email.com,Delhi
SUP010,Supplier_10,supplier10@email.com,Kolkata
